UNIT_GSS	VAR	VAL	n_museums
E06000006	governance_simpl	independent	3
E06000006	governance_simpl	university	0
E06000006	governance_simpl	unknown_gov	0
E06000007	governance_simpl	government	1
E06000007	governance_simpl	independent	5
E06000007	governance_simpl	university	0
E06000007	governance_simpl	unknown_gov	0
E06000008	governance_simpl	government	2
E06000008	governance_simpl	independent	1
E06000008	governance_simpl	university	0
E06000008	governance_simpl	unknown_gov	0
E06000009	governance_simpl	government	1
E06000009	governance_simpl	independent	1
E06000009	governance_simpl	university	0
E06000009	governance_simpl	unknown_gov	0
E06000010	governance_simpl	government	8
E06000010	governance_simpl	independent	1
E06000010	governance_simpl	university	1
E06000010	governance_simpl	unknown_gov	0
E06000011	governance_simpl	government	6
E06000011	governance_simpl	independent	18
E06000011	governance_simpl	university	0
E06000011	governance_simpl	unknown_gov	0
E06000012	governance_simpl	government	2
E06000012	governance_simpl	independent	1
E06000012	governance_simpl	university	0
E06000012	governance_simpl	unknown_gov	0
E06000013	governance_simpl	government	3
E06000013	governance_simpl	independent	6
E06000013	governance_simpl	university	0
E06000013	governance_simpl	unknown_gov	1
E06000014	governance_simpl	government	5
E06000014	governance_simpl	independent	18
E06000014	governance_simpl	university	0
E06000014	governance_simpl	unknown_gov	0
E06000015	governance_simpl	government	2
E06000015	governance_simpl	independent	6
E06000015	governance_simpl	university	0
E06000015	governance_simpl	unknown_gov	0
E06000016	governance_simpl	government	6
E06000016	governance_simpl	independent	5
E06000016	governance_simpl	university	0
E06000016	governance_simpl	unknown_gov	0
E06000017	governance_simpl	government	2
E06000017	governance_simpl	independent	1
E06000017	governance_simpl	university	0
E06000017	governance_simpl	unknown_gov	0
E06000018	governance_simpl	government	5
E06000018	governance_simpl	independent	6
E06000018	governance_simpl	university	1
E06000018	governance_simpl	unknown_gov	0
E06000019	governance_simpl	government	2
E06000019	governance_simpl	independent	17
E06000019	governance_simpl	university	0
E06000019	governance_simpl	unknown_gov	1
E06000020	governance_simpl	government	0
E06000020	governance_simpl	independent	11
E06000020	governance_simpl	university	0
E06000020	governance_simpl	unknown_gov	0
E06000021	governance_simpl	government	3
E06000021	governance_simpl	independent	6
E06000021	governance_simpl	university	0
E06000021	governance_simpl	unknown_gov	0
E06000022	governance_simpl	government	3
E06000022	governance_simpl	independent	17
E06000022	governance_simpl	university	0
E06000022	governance_simpl	unknown_gov	0
E06000023	governance_simpl	government	5
E06000023	governance_simpl	independent	6
E06000023	governance_simpl	university	1
E06000023	governance_simpl	unknown_gov	0
E06000024	governance_simpl	government	1
E06000024	governance_simpl	independent	4
E06000024	governance_simpl	university	0
E06000024	governance_simpl	unknown_gov	1
E06000025	governance_simpl	government	0
E06000025	governance_simpl	independent	8
E06000025	governance_simpl	university	0
E06000025	governance_simpl	unknown_gov	0
E06000026	governance_simpl	government	3
E06000026	governance_simpl	independent	2
E06000026	governance_simpl	university	0
E06000026	governance_simpl	unknown_gov	0
E06000027	governance_simpl	government	1
E06000027	governance_simpl	independent	5
E06000027	governance_simpl	university	0
E06000027	governance_simpl	unknown_gov	0
E06000030	governance_simpl	government	3
E06000030	governance_simpl	independent	2
E06000030	governance_simpl	university	0
E06000030	governance_simpl	unknown_gov	1
E06000031	governance_simpl	government	2
E06000031	governance_simpl	independent	4
E06000031	governance_simpl	university	0
E06000031	governance_simpl	unknown_gov	0
E06000032	governance_simpl	government	1
E06000032	governance_simpl	independent	2
E06000032	governance_simpl	university	0
E06000032	governance_simpl	unknown_gov	0
E06000033	governance_simpl	government	4
E06000033	governance_simpl	independent	2
E06000033	governance_simpl	university	0
E06000033	governance_simpl	unknown_gov	0
E06000034	governance_simpl	government	2
E06000034	governance_simpl	independent	2
E06000034	governance_simpl	university	0
E06000034	governance_simpl	unknown_gov	0
E06000035	governance_simpl	government	1
E06000035	governance_simpl	independent	8
E06000035	governance_simpl	university	0
E06000035	governance_simpl	unknown_gov	0
E06000036	governance_simpl	government	0
E06000036	governance_simpl	independent	1
E06000036	governance_simpl	university	0
E06000036	governance_simpl	unknown_gov	0
E06000037	governance_simpl	government	1
E06000037	governance_simpl	independent	2
E06000037	governance_simpl	university	0
E06000037	governance_simpl	unknown_gov	0
E06000038	governance_simpl	government	2
E06000038	governance_simpl	independent	1
E06000038	governance_simpl	university	1
E06000038	governance_simpl	unknown_gov	0
E06000039	governance_simpl	government	0
E06000039	governance_simpl	independent	1
E06000039	governance_simpl	university	0
E06000039	governance_simpl	unknown_gov	0
E06000040	governance_simpl	government	1
E06000040	governance_simpl	independent	8
E06000040	governance_simpl	university	0
E06000040	governance_simpl	unknown_gov	0
E06000041	governance_simpl	government	0
E06000041	governance_simpl	independent	2
E06000041	governance_simpl	university	2
E06000041	governance_simpl	unknown_gov	0
E06000042	governance_simpl	government	0
E06000042	governance_simpl	independent	7
E06000042	governance_simpl	university	0
E06000042	governance_simpl	unknown_gov	0
E06000043	governance_simpl	government	5
E06000043	governance_simpl	independent	7
E06000043	governance_simpl	university	0
E06000043	governance_simpl	unknown_gov	0
E06000044	governance_simpl	government	9
E06000044	governance_simpl	independent	4
E06000044	governance_simpl	university	0
E06000044	governance_simpl	unknown_gov	0
E06000045	governance_simpl	government	3
E06000045	governance_simpl	independent	3
E06000045	governance_simpl	university	0
E06000045	governance_simpl	unknown_gov	0
E06000046	governance_simpl	government	4
E06000046	governance_simpl	independent	26
E06000046	governance_simpl	university	0
E06000046	governance_simpl	unknown_gov	0
E06000047	governance_simpl	government	2
E06000047	governance_simpl	independent	12
E06000047	governance_simpl	university	3
E06000047	governance_simpl	unknown_gov	0
E06000049	governance_simpl	government	0
E06000049	governance_simpl	independent	23
E06000049	governance_simpl	university	2
E06000049	governance_simpl	unknown_gov	0
E06000050	governance_simpl	government	4
E06000050	governance_simpl	independent	4
E06000050	governance_simpl	university	0
E06000050	governance_simpl	unknown_gov	1
E06000051	governance_simpl	government	7
E06000051	governance_simpl	independent	17
E06000051	governance_simpl	university	0
E06000051	governance_simpl	unknown_gov	0
E06000052	governance_simpl	government	9
E06000052	governance_simpl	independent	66
E06000052	governance_simpl	university	0
E06000052	governance_simpl	unknown_gov	2
E06000053	governance_simpl	government	0
E06000053	governance_simpl	independent	2
E06000053	governance_simpl	university	0
E06000053	governance_simpl	unknown_gov	0
E06000054	governance_simpl	government	4
E06000054	governance_simpl	independent	37
E06000054	governance_simpl	university	0
E06000054	governance_simpl	unknown_gov	1
E06000055	governance_simpl	government	2
E06000055	governance_simpl	independent	7
E06000055	governance_simpl	university	0
E06000055	governance_simpl	unknown_gov	0
E06000056	governance_simpl	government	1
E06000056	governance_simpl	independent	9
E06000056	governance_simpl	university	0
E06000056	governance_simpl	unknown_gov	1
E06000057	governance_simpl	government	4
E06000057	governance_simpl	independent	26
E06000057	governance_simpl	university	0
E06000057	governance_simpl	unknown_gov	2
E06000058	governance_simpl	government	4
E06000058	governance_simpl	independent	3
E06000058	governance_simpl	university	1
E06000058	governance_simpl	unknown_gov	0
E06000059	governance_simpl	government	5
E06000059	governance_simpl	independent	46
E06000059	governance_simpl	university	0
E06000059	governance_simpl	unknown_gov	0
E07000004	governance_simpl	government	1
E07000004	governance_simpl	independent	11
E07000004	governance_simpl	university	0
E07000004	governance_simpl	unknown_gov	1
E07000005	governance_simpl	government	0
E07000005	governance_simpl	independent	7
E07000005	governance_simpl	university	0
E07000005	governance_simpl	unknown_gov	0
E07000006	governance_simpl	government	0
E07000006	governance_simpl	independent	1
E07000006	governance_simpl	university	0
E07000006	governance_simpl	unknown_gov	0
E07000007	governance_simpl	government	1
E07000007	governance_simpl	independent	3
E07000007	governance_simpl	university	0
E07000007	governance_simpl	unknown_gov	0
E07000008	governance_simpl	government	0
E07000008	governance_simpl	independent	4
E07000008	governance_simpl	university	11
E07000008	governance_simpl	unknown_gov	0
E07000009	governance_simpl	government	1
E07000009	governance_simpl	independent	6
E07000009	governance_simpl	university	0
E07000009	governance_simpl	unknown_gov	1
E07000010	governance_simpl	government	0
E07000010	governance_simpl	independent	6
E07000010	governance_simpl	university	0
E07000010	governance_simpl	unknown_gov	0
E07000011	governance_simpl	government	2
E07000011	governance_simpl	independent	7
E07000011	governance_simpl	university	0
E07000011	governance_simpl	unknown_gov	0
E07000012	governance_simpl	government	1
E07000012	governance_simpl	independent	4
E07000012	governance_simpl	university	0
E07000012	governance_simpl	unknown_gov	0
E07000026	governance_simpl	government	3
E07000026	governance_simpl	independent	7
E07000026	governance_simpl	university	0
E07000026	governance_simpl	unknown_gov	0
E07000027	governance_simpl	government	1
E07000027	governance_simpl	independent	1
E07000027	governance_simpl	university	0
E07000027	governance_simpl	unknown_gov	0
E07000028	governance_simpl	government	2
E07000028	governance_simpl	independent	6
E07000028	governance_simpl	university	0
E07000028	governance_simpl	unknown_gov	0
E07000029	governance_simpl	government	1
E07000029	governance_simpl	independent	4
E07000029	governance_simpl	university	0
E07000029	governance_simpl	unknown_gov	0
E07000030	governance_simpl	government	2
E07000030	governance_simpl	independent	5
E07000030	governance_simpl	university	0
E07000030	governance_simpl	unknown_gov	0
E07000031	governance_simpl	government	1
E07000031	governance_simpl	independent	20
E07000031	governance_simpl	university	0
E07000031	governance_simpl	unknown_gov	0
E07000032	governance_simpl	government	0
E07000032	governance_simpl	independent	8
E07000032	governance_simpl	university	0
E07000032	governance_simpl	unknown_gov	0
E07000033	governance_simpl	government	0
E07000033	governance_simpl	independent	4
E07000033	governance_simpl	university	0
E07000033	governance_simpl	unknown_gov	0
E07000034	governance_simpl	government	2
E07000034	governance_simpl	independent	1
E07000034	governance_simpl	university	0
E07000034	governance_simpl	unknown_gov	0
E07000035	governance_simpl	government	0
E07000035	governance_simpl	independent	19
E07000035	governance_simpl	university	0
E07000035	governance_simpl	unknown_gov	1
E07000036	governance_simpl	government	1
E07000036	governance_simpl	independent	0
E07000036	governance_simpl	university	0
E07000036	governance_simpl	unknown_gov	0
E07000037	governance_simpl	government	2
E07000037	governance_simpl	independent	1
E07000037	governance_simpl	university	0
E07000037	governance_simpl	unknown_gov	0
E07000038	governance_simpl	government	0
E07000038	governance_simpl	independent	1
E07000038	governance_simpl	university	0
E07000038	governance_simpl	unknown_gov	0
E07000039	governance_simpl	government	0
E07000039	governance_simpl	independent	6
E07000039	governance_simpl	university	0
E07000039	governance_simpl	unknown_gov	0
E07000040	governance_simpl	government	0
E07000040	governance_simpl	independent	14
E07000040	governance_simpl	university	0
E07000040	governance_simpl	unknown_gov	0
E07000041	governance_simpl	government	3
E07000041	governance_simpl	independent	1
E07000041	governance_simpl	university	1
E07000041	governance_simpl	unknown_gov	0
E07000042	governance_simpl	government	0
E07000042	governance_simpl	independent	6
E07000042	governance_simpl	university	0
E07000042	governance_simpl	unknown_gov	0
E07000043	governance_simpl	government	1
E07000043	governance_simpl	independent	9
E07000043	governance_simpl	university	0
E07000043	governance_simpl	unknown_gov	0
E07000044	governance_simpl	government	0
E07000044	governance_simpl	independent	12
E07000044	governance_simpl	university	0
E07000044	governance_simpl	unknown_gov	0
E07000045	governance_simpl	government	1
E07000045	governance_simpl	independent	13
E07000045	governance_simpl	university	0
E07000045	governance_simpl	unknown_gov	0
E07000046	governance_simpl	government	1
E07000046	governance_simpl	independent	7
E07000046	governance_simpl	university	0
E07000046	governance_simpl	unknown_gov	0
E07000047	governance_simpl	government	1
E07000047	governance_simpl	independent	9
E07000047	governance_simpl	university	0
E07000047	governance_simpl	unknown_gov	0
E07000061	governance_simpl	government	1
E07000061	governance_simpl	independent	6
E07000061	governance_simpl	university	0
E07000061	governance_simpl	unknown_gov	0
E07000062	governance_simpl	government	1
E07000062	governance_simpl	independent	5
E07000062	governance_simpl	university	0
E07000062	governance_simpl	unknown_gov	0
E07000063	governance_simpl	government	1
E07000063	governance_simpl	independent	11
E07000063	governance_simpl	university	1
E07000063	governance_simpl	unknown_gov	0
E07000064	governance_simpl	government	0
E07000064	governance_simpl	independent	11
E07000064	governance_simpl	university	0
E07000064	governance_simpl	unknown_gov	0
E07000065	governance_simpl	government	0
E07000065	governance_simpl	independent	9
E07000065	governance_simpl	university	0
E07000065	governance_simpl	unknown_gov	1
E07000066	governance_simpl	government	0
E07000066	governance_simpl	independent	3
E07000066	governance_simpl	university	0
E07000066	governance_simpl	unknown_gov	0
E07000067	governance_simpl	government	1
E07000067	governance_simpl	independent	10
E07000067	governance_simpl	university	0
E07000067	governance_simpl	unknown_gov	2
E07000068	governance_simpl	government	0
E07000068	governance_simpl	independent	3
E07000068	governance_simpl	university	0
E07000068	governance_simpl	unknown_gov	0
E07000069	governance_simpl	government	0
E07000069	governance_simpl	independent	3
E07000069	governance_simpl	university	0
E07000069	governance_simpl	unknown_gov	1
E07000070	governance_simpl	government	3
E07000070	governance_simpl	independent	4
E07000070	governance_simpl	university	0
E07000070	governance_simpl	unknown_gov	0
E07000071	governance_simpl	government	3
E07000071	governance_simpl	independent	7
E07000071	governance_simpl	university	1
E07000071	governance_simpl	unknown_gov	0
E07000072	governance_simpl	government	1
E07000072	governance_simpl	independent	3
E07000072	governance_simpl	university	0
E07000072	governance_simpl	unknown_gov	0
E07000073	governance_simpl	government	2
E07000073	governance_simpl	independent	0
E07000073	governance_simpl	university	0
E07000073	governance_simpl	unknown_gov	0
E07000074	governance_simpl	government	0
E07000074	governance_simpl	independent	7
E07000074	governance_simpl	university	0
E07000074	governance_simpl	unknown_gov	0
E07000075	governance_simpl	government	1
E07000075	governance_simpl	independent	1
E07000075	governance_simpl	university	0
E07000075	governance_simpl	unknown_gov	0
E07000076	governance_simpl	government	0
E07000076	governance_simpl	independent	8
E07000076	governance_simpl	university	0
E07000076	governance_simpl	unknown_gov	0
E07000077	governance_simpl	government	1
E07000077	governance_simpl	independent	7
E07000077	governance_simpl	university	0
E07000077	governance_simpl	unknown_gov	1
E07000078	governance_simpl	government	2
E07000078	governance_simpl	independent	0
E07000078	governance_simpl	university	0
E07000078	governance_simpl	unknown_gov	0
E07000079	governance_simpl	government	2
E07000079	governance_simpl	independent	10
E07000079	governance_simpl	university	0
E07000079	governance_simpl	unknown_gov	0
E07000080	governance_simpl	government	1
E07000080	governance_simpl	independent	5
E07000080	governance_simpl	university	0
E07000080	governance_simpl	unknown_gov	0
E07000081	governance_simpl	government	2
E07000081	governance_simpl	independent	2
E07000081	governance_simpl	university	0
E07000081	governance_simpl	unknown_gov	0
E07000082	governance_simpl	government	1
E07000082	governance_simpl	independent	7
E07000082	governance_simpl	university	0
E07000082	governance_simpl	unknown_gov	0
E07000083	governance_simpl	government	1
E07000083	governance_simpl	independent	12
E07000083	governance_simpl	university	0
E07000083	governance_simpl	unknown_gov	0
E07000084	governance_simpl	government	3
E07000084	governance_simpl	independent	4
E07000084	governance_simpl	university	0
E07000084	governance_simpl	unknown_gov	0
E07000085	governance_simpl	government	2
E07000085	governance_simpl	independent	5
E07000085	governance_simpl	university	0
E07000085	governance_simpl	unknown_gov	0
E07000086	governance_simpl	government	1
E07000086	governance_simpl	independent	0
E07000086	governance_simpl	university	0
E07000086	governance_simpl	unknown_gov	1
E07000087	governance_simpl	government	1
E07000087	governance_simpl	independent	2
E07000087	governance_simpl	university	0
E07000087	governance_simpl	unknown_gov	0
E07000088	governance_simpl	government	3
E07000088	governance_simpl	independent	4
E07000088	governance_simpl	university	0
E07000088	governance_simpl	unknown_gov	0
E07000089	governance_simpl	government	0
E07000089	governance_simpl	independent	0
E07000089	governance_simpl	university	0
E07000089	governance_simpl	unknown_gov	0
E07000090	governance_simpl	government	0
E07000090	governance_simpl	independent	2
E07000090	governance_simpl	university	0
E07000090	governance_simpl	unknown_gov	0
E07000091	governance_simpl	government	1
E07000091	governance_simpl	independent	10
E07000091	governance_simpl	university	0
E07000091	governance_simpl	unknown_gov	0
E07000092	governance_simpl	government	1
E07000092	governance_simpl	independent	3
E07000092	governance_simpl	university	0
E07000092	governance_simpl	unknown_gov	0
E07000093	governance_simpl	government	2
E07000093	governance_simpl	independent	5
E07000093	governance_simpl	university	0
E07000093	governance_simpl	unknown_gov	0
E07000094	governance_simpl	government	4
E07000094	governance_simpl	independent	15
E07000094	governance_simpl	university	0
E07000094	governance_simpl	unknown_gov	0
E07000095	governance_simpl	government	1
E07000095	governance_simpl	independent	0
E07000095	governance_simpl	university	0
E07000095	governance_simpl	unknown_gov	0
E07000096	governance_simpl	government	1
E07000096	governance_simpl	independent	3
E07000096	governance_simpl	university	0
E07000096	governance_simpl	unknown_gov	0
E07000098	governance_simpl	government	0
E07000098	governance_simpl	independent	4
E07000098	governance_simpl	university	0
E07000098	governance_simpl	unknown_gov	0
E07000099	governance_simpl	government	1
E07000099	governance_simpl	independent	5
E07000099	governance_simpl	university	0
E07000099	governance_simpl	unknown_gov	0
E07000102	governance_simpl	government	0
E07000102	governance_simpl	independent	1
E07000102	governance_simpl	university	0
E07000102	governance_simpl	unknown_gov	0
E07000103	governance_simpl	government	1
E07000103	governance_simpl	independent	0
E07000103	governance_simpl	university	0
E07000103	governance_simpl	unknown_gov	1
E07000105	governance_simpl	government	0
E07000105	governance_simpl	independent	8
E07000105	governance_simpl	university	0
E07000105	governance_simpl	unknown_gov	0
E07000106	governance_simpl	government	6
E07000106	governance_simpl	independent	3
E07000106	governance_simpl	university	1
E07000106	governance_simpl	unknown_gov	0
E07000107	governance_simpl	government	1
E07000107	governance_simpl	independent	1
E07000107	governance_simpl	university	0
E07000107	governance_simpl	unknown_gov	0
E07000108	governance_simpl	government	3
E07000108	governance_simpl	independent	10
E07000108	governance_simpl	university	0
E07000108	governance_simpl	unknown_gov	0
E07000109	governance_simpl	government	1
E07000109	governance_simpl	independent	3
E07000109	governance_simpl	university	0
E07000109	governance_simpl	unknown_gov	0
E07000110	governance_simpl	government	3
E07000110	governance_simpl	independent	6
E07000110	governance_simpl	university	0
E07000110	governance_simpl	unknown_gov	1
E07000111	governance_simpl	government	1
E07000111	governance_simpl	independent	12
E07000111	governance_simpl	university	0
E07000111	governance_simpl	unknown_gov	0
E07000112	governance_simpl	government	3
E07000112	governance_simpl	independent	5
E07000112	governance_simpl	university	0
E07000112	governance_simpl	unknown_gov	0
E07000113	governance_simpl	government	0
E07000113	governance_simpl	independent	12
E07000113	governance_simpl	university	0
E07000113	governance_simpl	unknown_gov	1
E07000114	governance_simpl	government	1
E07000114	governance_simpl	independent	7
E07000114	governance_simpl	university	0
E07000114	governance_simpl	unknown_gov	1
E07000115	governance_simpl	government	0
E07000115	governance_simpl	independent	2
E07000115	governance_simpl	university	0
E07000115	governance_simpl	unknown_gov	0
E07000116	governance_simpl	government	1
E07000116	governance_simpl	independent	6
E07000116	governance_simpl	university	0
E07000116	governance_simpl	unknown_gov	0
E07000117	governance_simpl	government	1
