mark1,mark2,avg_L,sdev_L,max_L,avg_LZ
arts,mixed,161919,75873,281398,0.4
belief_and_identity,mixed,148112,71346.3,262573,-0.3
buildings,mixed,153144,77980.3,276103,-0.1
communications,mixed,153840,70681.2,265405,-0
food_and_drink,mixed,140984,74574.2,264569,-0.7
industry_and_manufacture,mixed,163466,80669.3,288204,0.5
leisure_and_sport,mixed,160563,75860.5,278119,0.3
local_histories,mixed,139768,74406.9,260154,-0.8
medicine_and_health,mixed,165761,70756.3,274958,0.6
mixed,mixed,157576,80056.7,280695,0.2
natural_world,mixed,139016,70354,259974,-0.8
personality,mixed,145463,73505.5,265202,-0.5
rural_industry,mixed,144383,76528.9,266772,-0.5
science_and_technology,mixed,165307,84542.8,304403,0.6
sea_and_seafaring,mixed,117744,61620.4,229966,-2
services,mixed,158475,72254.4,272641,0.2
transport,mixed,153497,79236,281041,-0
utilities,mixed,152758,81954.9,290107,-0.1
war_and_conflict,mixed,148515,76339.4,273474,-0.3
all,natural_world,149217,73312.5,269687,-0.3
archaeology,natural_world,149077,75704.4,272364,-0.3
arts,natural_world,155346,68363.6,266507,0.1
belief_and_identity,natural_world,141389,67148.5,249923,-0.7
buildings,natural_world,148135,74760.2,270300,-0.3
communications,natural_world,164716,69354.6,271282,0.6
food_and_drink,natural_world,145177,75567.6,278153,-0.5
industry_and_manufacture,natural_world,126504,63670.9,238903,-1.5
leisure_and_sport,natural_world,162446,73652.9,282577,0.4
local_histories,natural_world,148016,77032.3,272781,-0.3
medicine_and_health,natural_world,197052,76092.8,309032,2.3
mixed,natural_world,138592,69712.2,256793,-0.8
natural_world,natural_world,162035,78282.7,293704,0.4
personality,natural_world,149355,70894.8,263853,-0.3
rural_industry,natural_world,148095,77776.6,273481,-0.3
science_and_technology,natural_world,162538,75312.5,290895,0.5
sea_and_seafaring,natural_world,127060,63791.1,237914,-1.5
services,natural_world,154970,76150,276564,0
transport,natural_world,144280,75651.9,269197,-0.5
utilities,natural_world,165155,81111.7,296890,0.6
war_and_conflict,natural_world,154468,77698.9,279958,0
all,personality,148009,70814,265270,-0.3
archaeology,personality,146108,74975.6,269275,-0.4
arts,personality,158633,67059.1,270348,0.2
belief_and_identity,personality,144578,64395,254045,-0.5
buildings,personality,148742,72003.7,266866,-0.3
communications,personality,163760,57273.2,257040,0.5
food_and_drink,personality,147135,67790.8,262316,-0.4
industry_and_manufacture,personality,143384,70623,263799,-0.6
leisure_and_sport,personality,159516,69695.5,273028,0.3
local_histories,personality,142533,73160.1,261220,-0.6
medicine_and_health,personality,187918,57067.5,281697,1.8
mixed,personality,145530,73623.6,265525,-0.5
natural_world,personality,150215,71923.1,267803,-0.2
personality,personality,149780,66564.7,261070,-0.2
rural_industry,personality,139561,76637.1,263879,-0.8
science_and_technology,personality,160889,76329.9,286699,0.4
sea_and_seafaring,personality,118274,62449.5,230121,-1.9
services,personality,153703,70716.9,269394,-0
transport,personality,146421,75895.1,270446,-0.4
utilities,personality,157107,76394.9,282906,0.2
war_and_conflict,personality,148667,74087.7,270581,-0.3
all,rural_industry,143605,75950.7,266039,-0.6
archaeology,rural_industry,140643,76206.9,264047,-0.7
arts,rural_industry,145264,78258,266524,-0.5
belief_and_identity,rural_industry,134038,71667.5,249268,-1.1
buildings,rural_industry,143391,77241.7,266547,-0.6
communications,rural_industry,145129,81692.6,266068,-0.5
food_and_drink,rural_industry,140704,78828.8,265983,-0.7
industry_and_manufacture,rural_industry,139195,74592.7,258498,-0.8
leisure_and_sport,rural_industry,151393,79900.6,275225,-0.1
local_histories,rural_industry,140998,75549.6,263584,-0.7
medicine_and_health,rural_industry,162578,88771.4,289151,0.5
mixed,rural_industry,143470,75526.4,262826,-0.6
natural_world,rural_industry,146816,76631.8,270434,-0.4
personality,rural_industry,138114,74869.1,258458,-0.9
rural_industry,rural_industry,142081,76257,268223,-0.6
science_and_technology,rural_industry,160348,85887.5,295915,0.3
sea_and_seafaring,rural_industry,124280,65396.7,237191,-1.6
services,rural_industry,147591,78694.1,270706,-0.4
transport,rural_industry,145349,77073.2,271142,-0.5
utilities,rural_industry,157041,83740.1,292315,0.2
war_and_conflict,rural_industry,148349,78383.6,275832,-0.3
all,science_and_technology,163496,82810.3,301678,0.5
archaeology,science_and_technology,162776,81176.1,297919,0.5
arts,science_and_technology,170696,80805.8,309107,0.9
belief_and_identity,science_and_technology,153537,73963.4,281627,-0
buildings,science_and_technology,164524,84349.7,304041,0.6
communications,science_and_technology,175198,73908.1,300421,1.1
food_and_drink,science_and_technology,165131,81926,303844,0.6
industry_and_manufacture,science_and_technology,161138,82725.1,300746,0.4
leisure_and_sport,science_and_technology,177334,84135.9,320532,1.2
local_histories,science_and_technology,156848,83855,293599,0.1
medicine_and_health,science_and_technology,201912,80991.8,340577,2.6
mixed,science_and_technology,165391,84805.9,306029,0.6
natural_world,science_and_technology,163700,76810.5,298270,0.5
personality,science_and_technology,160830,76340.9,287660,0.4
rural_industry,science_and_technology,162112,88283.4,303660,0.4
science_and_technology,science_and_technology,188991,101920.6,353099,1.9
sea_and_seafaring,science_and_technology,121352,71982,252595,-1.8
services,science_and_technology,166037,83402.8,304113,0.6
transport,science_and_technology,166719,90296.9,312291,0.7
utilities,science_and_technology,182714,89066.2,335757,1.5
war_and_conflict,science_and_technology,165180,87806.2,310180,0.6
all,sea_and_seafaring,119022,59783.9,221809,-1.9
archaeology,sea_and_seafaring,113741,58512.4,213757,-2.2
arts,sea_and_seafaring,121799,59311.8,224382,-1.7
belief_and_identity,sea_and_seafaring,116721,58052.9,214972,-2
buildings,sea_and_seafaring,114790,61077.7,219962,-2.1
communications,sea_and_seafaring,128974,61545.4,227697,-1.4
food_and_drink,sea_and_seafaring,115402,63380.9,225447,-2.1
industry_and_manufacture,sea_and_seafaring,108904,58639.8,214463,-2.4
leisure_and_sport,sea_and_seafaring,121587,61857.8,228052,-1.8
local_histories,sea_and_seafaring,117335,61151,219704,-2
medicine_and_health,sea_and_seafaring,137771,62334.2,240221,-0.9
mixed,sea_and_seafaring,114593,58560.4,219515,-2.1
natural_world,sea_and_seafaring,122496,59047.6,224163,-1.7
personality,sea_and_seafaring,114431,58103.6,216221,-2.1
rural_industry,sea_and_seafaring,120187,61997.5,224923,-1.8
science_and_technology,sea_and_seafaring,115335,65099.6,231351,-2.1
sea_and_seafaring,sea_and_seafaring,131567,56184.2,221456,-1.2
services,sea_and_seafaring,124361,61750.1,229766,-1.6
transport,sea_and_seafaring,118229,60370.8,223630,-1.9
utilities,sea_and_seafaring,120551,65324,235597,-1.8
war_and_conflict,sea_and_seafaring,124949,61285.1,228176,-1.6
all,services,155057,73031.8,271583,0
archaeology,services,144078,77831.5,273195,-0.5
arts,services,168157,69330.2,277179,0.8
belief_and_identity,services,153396,65927.2,258504,-0
buildings,services,153782,74517.1,270568,-0
communications,services,174658,66726.8,271106,1.1
food_and_drink,services,149172,68584.8,265592,-0.3
industry_and_manufacture,services,151850,69151.9,262555,-0.1
leisure_and_sport,services,172996,72675.7,279802,1
local_histories,services,148387,75484,267933,-0.3
medicine_and_health,services,200434,67838.8,298019,2.5
mixed,services,158029,71731.2,269760,0.2
natural_world,services,154113,75449,274909,-0
personality,services,153078,69832.4,266546,-0.1
rural_industry,services,148409,79290.1,271892,-0.3
science_and_technology,services,165570,82346.5,298495,0.6
sea_and_seafaring,services,128301,65247.3,241450,-1.4
services,services,155879,76073.2,263665,0.1
transport,services,153021,76360.4,276753,-0.1
utilities,services,162535,82609.5,293851,0.5
war_and_conflict,services,158950,76809.5,282981,0.3
all,transport,149664,77197.1,276950,-0.2
archaeology,transport,146640,78187.6,275543,-0.4
arts,transport,156966,77717,283249,0.2
belief_and_identity,transport,142124,72082,260841,-0.6
buildings,transport,151822,79636.9,280937,-0.1
communications,transport,154788,74489.5,275958,0
food_and_drink,transport,149742,77988.7,278640,-0.2
industry_and_manufacture,transport,156817,80366.1,287367,0.1
leisure_and_sport,transport,158320,79972.7,287321,0.2
local_histories,transport,143588,76340.1,269935,-0.6
medicine_and_health,transport,168380,75357.5,288821,0.8
mixed,transport,153074,78903.8,280246,-0.1
natural_world,transport,143994,75725.5,271063,-0.5
personality,transport,145850,75176.1,268750,-0.4
rural_industry,transport,145722,77554.3,273979,-0.5
science_and_technology,transport,165716,88912.7,308354,0.6
sea_and_seafaring,transport,122052,63556.9,235790,-1.7
services,transport,153096,76593.2,279359,-0.1
transport,transport,151760,80129.4,284630,-0.1
utilities,transport,159108,86521.1,302601,0.3
war_and_conflict,transport,150167,78871.9,281439,-0.2
all,utilities,160024,81208.3,292178,0.3
archaeology,utilities,158536,82088.2,292721,0.2
arts,utilities,164029,78472.4,289632,0.5
belief_and_identity,utilities,148432,70982.3,265635,-0.3
buildings,utilities,159685,82353.2,293864,0.3
communications,utilities,173805,75997,283247,1.1
food_and_drink,utilities,168243,80808.5,300307,0.8
industry_and_manufacture,utilities,153651,78017.5,280135,-0
leisure_and_sport,utilities,172491,82263.7,304055,1
local_histories,utilities,156722,83114.5,290711,0.1
medicine_and_health,utilities,197282,80860.5,317584,2.3
mixed,utilities,152920,81688.8,287137,-0.1
natural_world,utilities,166038,81787.1,298130,0.6
personality,utilities,157176,76242,280931,0.2
rural_industry,utilities,159197,85402.3,295740,0.3
science_and_technology,utilities,182656,88483.4,330810,1.5
sea_and_seafaring,utilities,127782,72022.6,252662,-1.4
services,utilities,164743,84459.4,297399,0.6
transport,utilities,160448,87288.8,302434,0.3
utilities,utilities,167535,92537.4,313288,0.7
war_and_conflict,utilities,166373,84848,303803,0.7
all,war_and_conflict,149671,75038.2,272418,-0.2
archaeology,war_and_conflict,147791,75831.3,271578,-0.3
arts,war_and_conflict,156221,73753.1,275586,0.1
belief_and_identity,war_and_conflict,143953,68200.6,256141,-0.5
buildings,war_and_conflict,148655,76630.5,272348,-0.3
communications,war_and_conflict,161062,70927.3,272228,0.4
food_and_drink,war_and_conflict,146899,74682.2,274707,-0.4
industry_and_manufacture,war_and_conflict,141887,72760.7,261430,-0.7
leisure_and_sport,war_and_conflict,160361,77317,283009,0.3
local_histories,war_and_conflict,144900,76108.7,269258,-0.5
medicine_and_health,war_and_conflict,184613,76699.8,302299,1.6
mixed,war_and_conflict,147504,75288.9,269685,-0.4
natural_world,war_and_conflict,153252,76531.6,276154,-0
personality,war_and_conflict,147292,72393.7,265152,-0.4
rural_industry,war_and_conflict,148253,78340.7,275738,-0.3
science_and_technology,war_and_conflict,163196,85379.6,300911,0.5
sea_and_seafaring,war_and_conflict,128883,64547.5,239909,-1.4
services,war_and_conflict,158303,76235.8,281472,0.2
transport,war_and_conflict,149646,78294.3,278477,-0.2
utilities,war_and_conflict,163937,82892.7,298950,0.5
war_and_conflict,war_and_conflict,154920,77034.3,281881,0
