mark1,mark2,avg_L,sdev_L,max_L,avg_LZ
sea_and_seafaring,belief_and_identity,120656,61930.1,227238,1.9
transport,belief_and_identity,142790,72579.1,261808,0.2
war_and_conflict,belief_and_identity,145192,69457,260210,0
all,buildings,150351,76107,274114,-0.4
archaeology,buildings,147864,78182.5,275459,-0.2
arts,buildings,159725,74953.1,279830,-1.1
belief_and_identity,buildings,145297,70053.9,259829,0
buildings,buildings,153281,77731.2,278124,-0.6
industry_and_manufacture,buildings,154721,78752.8,281384,-0.7
leisure_and_sport,buildings,162193,77004.8,284571,-1.3
local_histories,buildings,145067,76547.8,269648,0
mixed,buildings,153339,78191.3,276752,-0.6
personality,buildings,148882,72109.5,267315,-0.3
rural_industry,buildings,144811,78778.6,272080,0.1
sea_and_seafaring,buildings,118776,65027.9,233341,2.1
transport,buildings,152456,80292.7,282454,-0.5
war_and_conflict,buildings,150122,78200,277752,-0.3
all,industry_and_manufacture,149877,74518,272377,-0.3
archaeology,industry_and_manufacture,141401,76278.7,268800,0.3
arts,industry_and_manufacture,162874,73561.8,283760,-1.3
belief_and_identity,industry_and_manufacture,144191,69778.3,259439,0.1
buildings,industry_and_manufacture,154534,78630.5,281806,-0.7
industry_and_manufacture,industry_and_manufacture,181189,81936,303738,-2.7
leisure_and_sport,industry_and_manufacture,157911,74898.8,277192,-0.9
local_histories,industry_and_manufacture,138747,72663.9,260130,0.5
mixed,industry_and_manufacture,163369,80592.8,288311,-1.4
personality,industry_and_manufacture,143284,70502.2,263899,0.2
rural_industry,industry_and_manufacture,139571,75219.1,261553,0.5
sea_and_seafaring,industry_and_manufacture,111361,60514.5,222248,2.6
transport,industry_and_manufacture,156838,80409.3,288042,-0.9
war_and_conflict,industry_and_manufacture,142303,73388,264373,0.3
all,leisure_and_sport,159954,75499.2,280386,-1.1
archaeology,leisure_and_sport,151821,80039,283273,-0.5
arts,leisure_and_sport,174358,69750.5,283165,-2.2
belief_and_identity,leisure_and_sport,156997,66052.5,264783,-0.9
buildings,leisure_and_sport,162083,76777.2,282914,-1.3
industry_and_manufacture,leisure_and_sport,158264,75125.9,277206,-1
leisure_and_sport,leisure_and_sport,174187,74116.5,286122,-2.2
local_histories,leisure_and_sport,155006,78337.1,279342,-0.7
mixed,leisure_and_sport,160702,75947.4,277471,-1.2
personality,leisure_and_sport,159550,69598.1,272242,-1.1
rural_industry,leisure_and_sport,153246,81889.2,280860,-0.6
sea_and_seafaring,leisure_and_sport,126986,67217.9,243832,1.4
transport,leisure_and_sport,159222,80703.3,288382,-1
war_and_conflict,leisure_and_sport,162108,79137.7,288529,-1.3
all,local_histories,143138,74238.6,264182,0.2
archaeology,local_histories,140080,75482.2,262624,0.4
arts,local_histories,147995,73502.8,265522,-0.2
belief_and_identity,local_histories,135755,68659.4,247752,0.8
buildings,local_histories,144237,75698.9,266707,0.1
industry_and_manufacture,local_histories,138644,72418.8,258203,0.5
leisure_and_sport,local_histories,153959,77344.6,276792,-0.6
local_histories,local_histories,141996,75614.9,264430,0.3
mixed,local_histories,139345,73982.9,258524,0.5
personality,local_histories,141813,72317.7,258373,0.3
rural_industry,local_histories,141596,76232.8,265894,0.3
sea_and_seafaring,local_histories,121720,64887.7,232477,1.8
transport,local_histories,143603,76312.2,269189,0.2
war_and_conflict,local_histories,145642,76866.3,271727,-0
all,mixed,149546,75499.7,271004,-0.3
archaeology,mixed,144714,77114.7,273673,0.1
arts,mixed,161919,75873,281398,-1.3
belief_and_identity,mixed,148112,71346.3,262573,-0.2
buildings,mixed,153144,77980.3,276103,-0.6
industry_and_manufacture,mixed,163466,80669.3,288204,-1.4
leisure_and_sport,mixed,160563,75860.5,278119,-1.1
local_histories,mixed,139768,74406.9,260154,0.4
mixed,mixed,157576,80056.7,280695,-0.9
personality,mixed,145463,73505.5,265202,0
rural_industry,mixed,144383,76528.9,266772,0.1
sea_and_seafaring,mixed,117744,61620.4,229966,2.1
transport,mixed,153497,79236,281041,-0.6
war_and_conflict,mixed,148515,76339.4,273474,-0.2
all,personality,147020,71112.9,264679,-0.1
archaeology,personality,146108,74975.6,269275,-0
arts,personality,158633,67059.1,270348,-1
belief_and_identity,personality,144578,64395,254045,0.1
buildings,personality,148742,72003.7,266866,-0.2
industry_and_manufacture,personality,143384,70623,263799,0.2
leisure_and_sport,personality,159516,69695.5,273028,-1.1
local_histories,personality,142533,73160.1,261220,0.2
mixed,personality,145530,73623.6,265525,0
personality,personality,149780,66564.7,261070,-0.3
rural_industry,personality,139561,76637.1,263879,0.5
sea_and_seafaring,personality,118274,62449.5,230121,2.1
transport,personality,146421,75895.1,270446,-0.1
war_and_conflict,personality,148667,74087.7,270581,-0.2
all,rural_industry,142988,75569.6,265110,0.2
archaeology,rural_industry,140643,76206.9,264047,0.4
arts,rural_industry,145264,78258,266524,0
belief_and_identity,rural_industry,134038,71667.5,249268,0.9
buildings,rural_industry,143391,77241.7,266547,0.2
industry_and_manufacture,rural_industry,139195,74592.7,258498,0.5
leisure_and_sport,rural_industry,151393,79900.6,275225,-0.4
local_histories,rural_industry,140998,75549.6,263584,0.4
mixed,rural_industry,143470,75526.4,262826,0.2
personality,rural_industry,138114,74869.1,258458,0.6
rural_industry,rural_industry,142081,76257,268223,0.3
sea_and_seafaring,rural_industry,124280,65396.7,237191,1.6
transport,rural_industry,145349,77073.2,271142,0
war_and_conflict,rural_industry,148349,78383.6,275832,-0.2
all,sea_and_seafaring,118625,59667.1,221186,2.1
archaeology,sea_and_seafaring,113741,58512.4,213757,2.5
arts,sea_and_seafaring,121799,59311.8,224382,1.8
belief_and_identity,sea_and_seafaring,116721,58052.9,214972,2.2
buildings,sea_and_seafaring,114790,61077.7,219962,2.4
industry_and_manufacture,sea_and_seafaring,108904,58639.8,214463,2.8
leisure_and_sport,sea_and_seafaring,121587,61857.8,228052,1.8
local_histories,sea_and_seafaring,117335,61151,219704,2.2
mixed,sea_and_seafaring,114593,58560.4,219515,2.4
personality,sea_and_seafaring,114431,58103.6,216221,2.4
rural_industry,sea_and_seafaring,120187,61997.5,224923,2
sea_and_seafaring,sea_and_seafaring,131567,56184.2,221456,1.1
transport,sea_and_seafaring,118229,60370.8,223630,2.1
war_and_conflict,sea_and_seafaring,124949,61285.1,228176,1.6
all,transport,149217,77088.7,276340,-0.3
archaeology,transport,146640,78187.6,275543,-0.1
arts,transport,156966,77717,283249,-0.9
belief_and_identity,transport,142124,72082,260841,0.3
buildings,transport,151822,79636.9,280937,-0.5
industry_and_manufacture,transport,156817,80366.1,287367,-0.9
leisure_and_sport,transport,158320,79972.7,287321,-1
local_histories,transport,143588,76340.1,269935,0.2
mixed,transport,153074,78903.8,280246,-0.6
personality,transport,145850,75176.1,268750,-0
rural_industry,transport,145722,77554.3,273979,-0
sea_and_seafaring,transport,122052,63556.9,235790,1.8
transport,transport,151760,80129.4,284630,-0.5
war_and_conflict,transport,150167,78871.9,281439,-0.4
all,war_and_conflict,148729,74891,271359,-0.2
archaeology,war_and_conflict,147791,75831.3,271578,-0.2
arts,war_and_conflict,156221,73753.1,275586,-0.8
belief_and_identity,war_and_conflict,143953,68200.6,256141,0.1
buildings,war_and_conflict,148655,76630.5,272348,-0.2
industry_and_manufacture,war_and_conflict,141887,72760.7,261430,0.3
leisure_and_sport,war_and_conflict,160361,77317,283009,-1.1
local_histories,war_and_conflict,144900,76108.7,269258,0.1
mixed,war_and_conflict,147504,75288.9,269685,-0.1
personality,war_and_conflict,147292,72393.7,265152,-0.1
rural_industry,war_and_conflict,148253,78340.7,275738,-0.2
sea_and_seafaring,war_and_conflict,128883,64547.5,239909,1.3
transport,war_and_conflict,149646,78294.3,278477,-0.3
war_and_conflict,war_and_conflict,154920,77034.3,281881,-0.7
