ID,YEAR 2016-17,YEAR 2017-18,YEAR 2018-19,201617,201718,201819,, Total per museum 
Chatham Historic Dockyard,-,-,2018-19,,,75,, 75 
Chelmsford Museum,-,2017-18,-,,164,,, 164 
Christchurch Mansion,2016-17,2017-18,2018-19,152,297,643,," 1,092 "
City Space,-,-,2018-19,,,3,, 3 
Clifton Park Museum,2016-17,2017-18,2018-19,395,433,356,," 1,184 "
Colchester Castle,2016-17,2017-18,2018-19,384,299,472,," 1,155 "
Colchester Natural History Museum,-,-,2018-19,,,1,, 1 
Compton Verney House Trust,-,2017-18,-,,743,,, 743 
Cooper Art Gallery,2016-17,2017-18,2018-19,382,378,191,, 951 
Cornwall’s Regimental Museum,-,2017-18,2018-19,,2,478,, 480 
Coventry Transport Museum,2016-17,-,2018-19,101,,478,, 579 
Cumberland House Natural History Museum,-,2017-18,2018-19,,90,195,, 285 
Curtis Museum,-,2017-18,2018-19,,1,596,, 597 
Cusworth Hall,-,-,2018-19,,,361,, 361 
Derby Museum and Art Gallery,2016-17,2017-18,2018-19,306,400,454,," 1,160 "
Design Museum,2016-17,2017-18,2018-19,453,375,500,," 1,328 "
Discovery Museum,2016-17,2017-18,2018-19,386,377,376,," 1,139 "
Ditchling Museum of Art + Craft,-,-,2018-19,,,401,, 401 
Doncaster Museum and Art Gallery,-,-,2018-19,,,223,, 223 
Dorich House Museum,-,-,2018-19,,,20,, 20 
Dorman Museum,2016-17,2017-18,2018-19,320,240,607,," 1,167 "
Dorset County Museum,2016-17,-,2018-19,328,,192,, 520 
"Dr Jenner's House, Museum and Garden",2016-17,-,-,163,,,, 163 
Eastbury Manor,2016-17,2017-18,2018-19,247,281,89,, 617 
Eastleigh Museum,-,2017-18,2018-19,,131,184,, 315 
Elsecar Heritage Centre,2016-17,2017-18,2018-19,340,582,380,," 1,302 "
Epping Forest District Museum,-,2017-18,-,,2,,, 2 
Eureka The National Children's Museum,2016-17,2017-18,2018-19,782,969,903,," 2,654 "
Experience Barnsley,2016-17,2017-18,2018-19,377,758,371,," 1,506 "
Falmouth Art Gallery,2016-17,2017-18,2018-19,303,197,305,, 805 
Fashion Museum Bath,2016-17,-,-,206,,,, 206 
Fitzwilliam Museum,2016-17,2017-18,2018-19,169,63,294,, 526 
Geffrye Museum,2016-17,-,2018-19,560,,112,, 672 
Gilbert White's House and The Oates Collection,-,-,2018-19,,,220,, 220 
Goole Museum,2016-17,2017-18,2018-19,65,3,78,, 146 
Gosport Gallery,-,2017-18,2018-19,,59,233,, 292 
Great North Museum,2016-17,2017-18,2018-19,429,379,376,," 1,184 "
Gressenhall Farm and Workhouse,-,2017-18,2018-19,,454,293,, 747 
Handel & Hendrix,-,-,2018-19,,,17,, 17 
Harris Museum and Art Gallery,-,2017-18,2018-19,,1127,582,," 1,709 "
Winchester City Museum,-,2017-18,2018-19,,0,734,, 734 
Head of Steam - Darlington Railway Museum,2016-17,2017-18,2018-19,153,326,380,, 859 
Helston Museum,-,-,2018-19,,,496,, 496 
Henry Moore Studios & Gardens,-,2017-18,2018-19,,375,94,, 469 
Herbert Art Gallery & Museum,2016-17,-,2018-19,217,,301,, 518 
Herschel Museum of Astronomy,2016-17,-,-,43,,,, 43 
Hexham Old Gaol Museum,2016-17,2017-18,2018-19,246,211,507,, 964 
Higgins Bedford,-,2017-18,2018-19,,150,236,, 386 
History of Science Museum Oxford,2016-17,2017-18,-,1,418,,, 419 
Horniman Museum & Gardens,-,2017-18,2018-19,,579,667,," 1,246 "
Hull & East Riding Museum,2016-17,2017-18,2018-19,103,373,299,, 775 
Hull Maritime Museum,2016-17,2017-18,2018-19,222,371,360,, 953 
Ipswich Museum,2016-17,2017-18,2018-19,364,258,496,," 1,118 "
Ironbridge Gorge Museum,2016-17,2017-18,2018-19,1135,1332,517,," 2,984 "
IWMN,2016-17,-,-,590,,,, 590 
Jewish Museum London,2016-17,2017-18,2018-19,0,746,379,," 1,125 "
Kelham Island Museum,2016-17,-,2018-19,8,,359,, 367 
Kettering Museum and Art Gallery,2016-17,-,-,55,,,, 55 
Kettle's Yard,-,2017-18,2018-19,,55,383,, 438 
Kirkleatham Museum,2016-17,2017-18,2018-19,212,454,410,," 1,076 "
Knaresborough Castle,-,2017-18,-,,68,,, 68 
Lapworth Museum of Geology,-,-,2018-19,,,382,, 382 
Leeds Museums and Galleries,-,2017-18,2018-19,,427,830,," 1,257 "
Leicester Arts & Museums Service,-,-,2018-19,,,426,, 426 
Littlehampton Museum,2016-17,-,-,83,,,, 83 
Lowewood Museum,-,2017-18,-,,229,,, 229 
Maidstone Museum,2016-17,-,-,35,,,, 35 
Manchester Jewish Museum,2016-17,-,2018-19,65,,93,, 158 
Manchester Museum,2016-17,2017-18,2018-19,730,814,604,," 2,148 "
Mansfield Museum,2016-17,2017-18,2018-19,540,111,14,, 665 
Midlands Art Centre,-,-,2018-19,,,1433,," 1,433 "
Milestones Museum,-,2017-18,2018-19,,258,463,, 721 
Millennium Gallery,2016-17,2017-18,2018-19,478,442,434,," 1,354 "
Morpeth Bagpipe Museum,-,-,2018-19,,,158,, 158 
MOSI,2016-17,-,-,1918,,,," 1,918 "
Museum in the Park,2016-17,-,2018-19,289,,36,, 325 
Museum of Barnstaple and North Devon,-,-,2018-19,,,41,, 41 
Museum of Bath Architecture,2016-17,-,-,6,,,, 6 
Museum of East Anglian Life,-,-,2018-19,,,384,, 384 
Museum of East Asian Art,2016-17,-,-,101,,,, 101 
Museum of Hartlepool,-,2017-18,2018-19,,358,146,, 504 
Museum of Lakeland Life & Industry,2016-17,2017-18,2018-19,274,266,0,, 540 
Museum of London,2016-17,2017-18,2018-19,498,1390,837,," 2,725 "
Museum of Natural History Oxford,2016-17,2017-18,-,351,385,,, 736 
Museum of Richmond,-,-,2018-19,,,8,, 8 
Museum of Somerset,-,-,2018-19,,,137,, 137 
Museum of the Jewellery Quarter,2016-17,-,-,61,,,, 61 
Museum of Timekeeping,-,-,2018-19,,,86,, 86 
National Football Museum,2016-17,-,-,283,,,, 283 
National Justice Museum,-,-,2018-19,,,1395,," 1,395 "
National Maritime Museum Cornwall,2016-17,2017-18,-,207,110,,, 317 
National Waterways Museum Ellesmere Port,-,2017-18,2018-19,,684,177,, 861 
National Waterways Museum Gloucester,-,2017-18,2018-19,,532,310,, 842 
Newstead Abbey,2016-17,2017-18,2018-19,497,422,16,, 935 
No. 1 Royal Crescent,2016-17,-,-,586,,,, 586 
Normanby Hall Museum and Country Park,2016-17,-,2018-19,110,,365,, 475 
North Lincolnshire Museum,-,2017-18,2018-19,,63,468,, 531 
Norwich Castle Museum & Art Gallery,2016-17,2017-18,-,356,852,,," 1,208 "
Nottingham Castle,2016-17,-,-,446,,,, 446 
Nottingham Industrial Museum,2016-17,2017-18,-,458,414,,, 872 
Penlee House Gallery and Museum,2016-17,2017-18,2018-19,456,624,431,," 1,511 "
People's History Museum,-,2017-18,2018-19,,204,404,, 608 
Petrie Museum of Egyptian Archaeology,-,-,2018-19,,,351,, 351 
Pickford's House Museum,2016-17,2017-18,2018-19,212,396,409,," 1,017 "
Pitt Rivers Museum,2016-17,2017-18,-,367,414,,, 781 
Plymouth City Museum and Art Gallery,2016-17,2017-18,-,409,645,,," 1,054 "
Pocklington Arts Centre,-,-,2018-19,,,270,, 270 
Pontefract Castle,-,2017-18,-,,766,,, 766 
Pontefract Museum,2016-17,2017-18,2018-19,263,802,948,," 2,013 "
Poole Museum,2016-17,2017-18,2018-19,1521,6,346,," 1,873 "
Porthcurno Telegraph Museum,2016-17,2017-18,2018-19,78,280,273,, 631 
Portsmouth City Museum,-,2017-18,2018-19,,46,5,, 51 
Preston City Council,-,2017-18,2018-19,,604,761,," 1,365 "
Preston Park Museum,2016-17,2017-18,2018-19,180,80,373,, 633 
Pump House Gallery,-,2017-18,-,,749,,, 749 
Reading Museum,-,-,2018-19,,,209,, 209 
Red House Museum and Gardens,-,2017-18,2018-19,,20,542,, 562 
RIBA North,-,2017-18,2018-19,,524,10,, 534 
Ripon Museum Trust,-,-,2018-19,,,493,, 493 
Roman Baths,2016-17,-,-,573,,,, 573 
Royal Albert Memorial Museum,-,2017-18,2018-19,,880,536,," 1,416 "
Royal Cornwall Museum,2016-17,2017-18,2018-19,230,209,331,, 770 
Royal Pump Room Museum,2016-17,-,-,183,,,, 183 
Royal West of England Academy,2016-17,2017-18,-,262,836,,," 1,098 "
Russell-Cotes Art Gallery & Museum,2016-17,-,-,253,,,, 253 
Rutland County Museum,2016-17,-,-,181,,,, 181 
Salisbury Museum,2016-17,2017-18,-,482,181,,, 663 
Sarehole Mill,2016-17,-,-,77,,,, 77 
SeaCity Museum,-,-,2018-19,,,218,, 218 
Sedgwick Museum of Earth Sciences,2016-17,2017-18,2018-19,145,63,76,, 284 
Segedunum Roman Fort,2016-17,2017-18,2018-19,328,320,373,," 1,021 "
Seven Stories,2016-17,-,-,379,,,, 379 
Sewerby Hall,2016-17,-,2018-19,164,,411,, 575 
Soho House,2016-17,-,-,40,,,, 40 
Soldiers of Oxfordshire,-,2017-18,-,,146,,, 146 
Somerset Rural Life Museum,-,-,2018-19,,,316,, 316 
South Shields Museum,2016-17,2017-18,2018-19,380,333,373,," 1,086 "
SS Great Britain Trust,-,-,2018-19,,,591,, 591 
St Albans Cathedral,-,-,2018-19,,,820,, 820 
"St Martin's Church, Exeter",2016-17,-,-,89,,,, 89 
Stanley Picker Gallery,-,2017-18,2018-19,,50,170,, 220 
Stephenson Railway Museum,2016-17,2017-18,2018-19,291,399,513,," 1,203 "
The Story Museum,2016-17,2017-18,2018-19,242,554,93,, 889 
Streetlife Museum of Transport,2016-17,2017-18,2018-19,376,352,359,," 1,087 "
Stroud Valleys Artspace Limited,-,-,2018-19,,,61,, 61 
Studio Voltaire,-,-,2018-19,,,152,, 152 
Sunderland Museum & Winter Gardens,-,-,2018-19,,,390,, 390 
The Atkinson,-,-,2018-19,,,249,, 249 
The Beacon Museum,-,-,2018-19,,,253,, 253 
The Beaney House of Art & Knowledge,-,-,2018-19,,,270,, 270 
The Commandery,2016-17,2017-18,2018-19,231,210,186,, 627 
The D-Day Story,-,-,2018-19,,,594,, 594 
The Guildhall Museum,-,-,2018-19,,,35,, 35 
The Higgins Art Gallery & Museum,-,2017-18,2018-19,,150,141,, 291 
The Holburne Museum,2016-17,-,-,714,,,, 714 
The Hollytrees Museum,-,2017-18,2018-19,,5,400,, 405 
The Museum of English Rural Life,-,-,2018-19,,,310,, 310 
The National Holocaust Centre and Museum,-,-,2018-19,,,394,, 394 
The North Lincolnshire Museum,2016-17,-,-,420,,,, 420 
The Piece Hall,-,2017-18,-,,582,,, 582 
The Salisbury Museum,-,2017-18,2018-19,,108,415,, 523 
The Shakespeare Birthplace Trust,-,-,2018-19,,,398,, 398 
The Silk Mill,2016-17,-,-,161,,,, 161 
The Spring Arts & Heritage Centre,-,-,2018-19,,,24,, 24 
The Story Museum,2016-17,2017-18,2018-19,242,554,93,, 889 
The Tank Museum,-,-,2018-19,,,739,, 739 
The Whitworth,2016-17,2017-18,2018-19,611,18,619,," 1,248 "
The Willis Museum,-,2017-18,-,,146,,, 146 
Thinktank,2016-17,-,-,399,,,, 399 
Towner Art Gallery & Museum,2016-17,-,2018-19,403,,382,, 785 
Treasure House and Beverley Art Gallery,-,-,2018-19,,,389,, 389 
Tudor House & Garden,-,-,2018-19,,,205,, 205 
Tullie House Museum & Art Gallery,2016-17,2017-18,2018-19,454,497,422,," 1,373 "
UCL Art Museum,-,-,2018-19,,,36,, 36 
UCL Grant Museum of Zoology,-,2017-18,2018-19,,43,337,, 380 
UCM Botanic Gardens,2016-17,2017-18,2018-19,153,75,54,, 282 
UCM Museum of Archaeology and Anthropology,2016-17,2017-18,2018-19,122,63,41,, 226 
UCM Museum of Classical Archaeology,2016-17,2017-18,2018-19,37,19,24,, 80 
UCL Grant Museum of Zoology,-,2017-18,2018-19,,43,337,, 380 
UCM The Polar Museum,2016-17,2017-18,2018-19,90,57,15,, 162 
Valence House,-,2017-18,-,,70,,, 70 
Vestry House Museum,2016-17,2017-18,2018-19,27,101,0,, 128 
Victoria Art Gallery,2016-17,-,-,154,,,, 154 
Victoria Baths,-,-,2018-19,,,58,, 58 
Wakefield Museum,2016-17,2017-18,2018-19,339,768,380,," 1,487 "
Wardown House,-,-,2018-19,,,152,, 152 
Westbury Manor Museum,2016-17,2017-18,2018-19,73,117,354,, 544 
Westgate Museum,-,2017-18,2018-19,,149,95,, 244 
Weston Park Museum,2016-17,2017-18,2018-19,469,424,449,," 1,342 "
Wheal Martyn Clay Works,2016-17,2017-18,2018-19,405,261,385,," 1,051 "
Whipple Museum of History of Science,2016-17,2017-18,-,90,59,,, 149 
Wilberforce House,2016-17,2017-18,2018-19,278,222,363,, 863 
Willis Museum and Sainsbury Gallery,-,-,2018-19,,,375,, 375 
Wiltshire Museum,2016-17,-,2018-19,138,,269,, 407 
Winchester City Museum,-,2017-18,2018-19,108,894,37,," 1,039 "
Wollaton Hall,2016-17,2017-18,2018-19,536,1326,771,," 2,633 "
Woodhorn Museum,2016-17,2017-18,2018-19,423,,256,, 679 
Worcester City Art Gallery & Museum,2016-17,-,2018-19,219,,187,, 406 
Worcestershire County Museum,2016-17,-,2018-19,349,108,401,, 858 
Wordsworth Trust,2016-17,2017-18,2018-19,199,648,208,," 1,055 "
Worsborough Mill,2016-17,2017-18,2018-19,,94,,, 94 
Writers Centre Norwich,-,2017-18,-,,163,,, 163 
Writing East Midlands,-,2017-18,-,381,622,519,," 1,522 "
York Art Gallery,2016-17,2017-18,2018-19,414,1376,676,," 2,466 "
York Castle Museum,2016-17,2017-18,2018-19,378,1452,535,," 2,365 "
Yorkshire Museum,2016-17,2017-18,2018-19,380,741,535,," 1,656 "
Benchmark year total,,,," 42,019 "," 56,689 "," 59,338 ",,
